                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.53405,                 1.1528,                0.89288,                0.94143,                0.92739,                0.98596,                0.91467,                0.37626,                0.46999,                0.71029,               0.067117,             0.00033215,             0.00033215
                      1,                0.29945,                 0.4673,                0.80486,                  0.976,                 0.9719,                0.99264,                0.93376,                0.34527,                0.35581,                0.69632,                0.03411,              0.0006589,              0.0006589
                      2,                0.29237,                0.41873,                0.80295,                 0.9322,                0.93101,                0.98885,                0.91813,                0.36823,                0.40903,                0.69568,              0.0010972,             0.00097904,             0.00097904
                      3,                0.24366,                0.38099,                0.79751,                0.97937,                 0.9818,                0.99349,                0.94964,                0.30815,                0.25609,                0.70474,              0.0009703,              0.0009703,              0.0009703
                      4,                0.21309,                0.33981,                0.79481,                0.98854,                0.98185,                0.99366,                0.96931,                0.25911,                0.23188,                0.68639,              0.0009703,              0.0009703,              0.0009703
                      5,                0.20022,                0.32627,                 0.7933,                0.98846,                0.98957,                 0.9946,                0.98768,                0.19821,                0.19988,                 0.6904,              0.0009604,              0.0009604,              0.0009604
                      6,                0.19628,                0.30826,                0.79145,                0.97823,                  0.975,                0.99371,                0.98445,                0.21635,                 0.2639,                0.68178,              0.0009505,              0.0009505,              0.0009505
                      7,                0.18132,                0.29528,                0.79297,                0.98886,                0.98814,                 0.9937,                0.98275,                0.21311,                0.22934,                0.68683,              0.0009406,              0.0009406,              0.0009406
                      8,                0.17195,                0.28204,                0.79036,                0.99497,                0.98938,                0.99492,                0.96939,                0.27138,                0.20308,                0.69056,              0.0009307,              0.0009307,              0.0009307
                      9,                0.16805,                0.26865,                0.78857,                0.98978,                 0.9932,                0.99462,                0.99097,                0.19903,                0.16704,                0.67804,              0.0009208,              0.0009208,              0.0009208
                     10,                0.16517,                0.26424,                0.78949,                0.99241,                0.99373,                0.99471,                0.98507,                0.20224,                0.16725,                0.68293,              0.0009109,              0.0009109,              0.0009109
                     11,                0.16192,                0.26211,                0.78968,                0.99398,                  0.994,                0.99486,                0.97949,                0.23694,                0.17148,                0.68613,               0.000901,               0.000901,               0.000901
                     12,                0.16043,                0.26275,                0.78842,                0.99015,                0.99048,                0.99468,                0.98749,                0.18817,                0.16984,                0.67993,              0.0008911,              0.0008911,              0.0008911
                     13,                0.15448,                0.25585,                0.78866,                0.99301,                0.99412,                 0.9949,                0.97939,                0.23774,                0.16232,                0.68427,              0.0008812,              0.0008812,              0.0008812
                     14,                0.15296,                0.24711,                0.78799,                0.99479,                 0.9962,                0.99459,                0.98947,                0.20494,                 0.1502,                0.67653,              0.0008713,              0.0008713,              0.0008713
                     15,                0.14834,                0.24671,                0.78781,                0.99526,                0.99591,                0.99441,                0.99102,                0.18738,                0.13945,                0.67925,              0.0008614,              0.0008614,              0.0008614
                     16,                0.15001,                0.24587,                0.78713,                0.99529,                0.99648,                0.99495,                 0.9935,                0.19094,                0.14152,                0.67962,              0.0008515,              0.0008515,              0.0008515
