                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7174,                 2.5622,                 1.0784,                0.21324,                 0.3013,                0.11792,                0.03711,                 2.5774,                 2.7326,                 1.0149,               0.067078,             0.00033254,             0.00033254
                      1,                 2.3377,                 2.1841,                0.99777,                0.19634,                0.41075,                0.16053,                0.05389,                  2.451,                 2.4482,                0.98328,               0.034072,             0.00065928,             0.00065928
                      2,                 2.2289,                 2.0807,                0.97996,                0.27408,                0.44308,                0.25237,                0.09633,                 2.2671,                 2.4269,                0.94899,              0.0010584,             0.00097943,             0.00097943
                      3,                 2.1703,                 2.0181,                0.97222,                0.30112,                0.43417,                0.31209,                0.11272,                 2.3603,                 2.7652,                0.96475,              0.0009703,              0.0009703,              0.0009703
                      4,                 2.1132,                 1.9607,                 0.9667,                0.30839,                0.45022,                0.30672,                0.11002,                 2.3482,                 2.4977,                0.96029,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.1072,                 1.9265,                0.96394,                0.36116,                0.47472,                0.36609,                0.13812,                 2.2457,                 2.1277,                0.92054,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.0877,                 1.8836,                0.96196,                0.41892,                0.49069,                0.41071,                0.17324,                 2.1262,                 1.9533,                0.90323,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.0274,                 1.8599,                0.95943,                0.52037,                0.51707,                0.52337,                0.21386,                 2.1476,                 1.8131,                0.89956,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.0364,                 1.8295,                 0.9569,                0.50226,                0.52468,                0.51404,                0.20774,                 2.1835,                 1.8332,                0.91599,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.0121,                  1.815,                0.95655,                0.47771,                0.55207,                0.51161,                0.21279,                 2.1116,                 1.8182,                0.89204,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.0082,                 1.7938,                0.95502,                0.52189,                0.51155,                0.52184,                0.21386,                 2.1784,                  1.834,                0.90713,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.9897,                 1.7592,                0.95024,                0.56357,                0.48456,                0.51418,                0.18778,                 2.3114,                  1.829,                0.93019,               0.000901,               0.000901,               0.000901
                     12,                 1.9601,                   1.75,                0.94909,                0.50817,                0.51085,                0.49753,                0.18174,                 2.3129,                 1.9402,                0.94156,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.9598,                  1.732,                0.95055,                0.56693,                0.55655,                 0.5658,                0.19914,                 2.3601,                 1.7124,                0.93807,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.9445,                 1.7405,                0.94684,                0.54982,                 0.5448,                0.55679,                0.21594,                 2.2279,                 1.8708,                0.91274,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.9481,                 1.7227,                0.94486,                0.55984,                0.57247,                0.56949,                0.22486,                 2.2502,                 1.7878,                0.92224,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.9358,                   1.71,                0.94367,                0.58592,                0.54275,                0.58618,                0.23308,                 2.1631,                 1.7396,                0.91133,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.9273,                 1.7047,                0.94564,                 0.5537,                0.57303,                0.58404,                0.21912,                 2.2748,                  1.931,                0.93726,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.9155,                 1.6718,                0.94431,                0.61941,                0.56696,                0.60717,                0.21883,                 2.3065,                 1.6761,                0.91666,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.9354,                 1.6727,                0.94591,                0.58425,                0.60587,                0.62043,                0.23165,                 2.3098,                 1.6239,                 0.9145,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.9042,                 1.6606,                0.94116,                0.60407,                0.62365,                0.64751,                0.25413,                 2.2771,                 1.6272,                0.91617,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.9112,                 1.6591,                0.94452,                 0.5544,                0.53683,                0.54059,                0.18987,                 2.4337,                 1.9886,                0.97395,               0.000802,               0.000802,               0.000802
                     22,                 1.8901,                 1.6476,                0.94309,                0.63205,                 0.6273,                  0.685,                0.28128,                 2.1243,                 1.5012,                0.89001,              0.0007921,              0.0007921,              0.0007921
                     23,                   1.91,                 1.6462,                 0.9426,                0.64262,                0.64395,                0.68319,                0.27876,                 2.1688,                 1.4534,                0.89274,              0.0007822,              0.0007822,              0.0007822
                     24,                  1.879,                 1.6244,                0.93984,                0.64726,                0.63395,                0.68644,                0.27306,                 2.1846,                 1.4778,                0.90241,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.8778,                 1.6256,                0.94009,                0.65953,                0.65347,                0.69757,                0.28308,                 2.1774,                 1.4299,                0.89839,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.8727,                 1.6119,                0.93999,                0.62528,                0.61144,                0.62869,                0.24201,                 2.2638,                 1.7089,                0.92634,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.8601,                 1.6016,                0.93899,                0.68466,                0.59269,                0.65912,                 0.2599,                  2.218,                 1.5291,                0.92507,              0.0007426,              0.0007426,              0.0007426
                     28,                  1.852,                 1.5956,                0.93988,                0.66914,                 0.6558,                0.70985,                0.30642,                 2.0772,                 1.5849,                0.88802,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.8457,                 1.5905,                0.93469,                0.67242,                0.65275,                0.70051,                0.27578,                 2.2247,                 1.4515,                 0.9052,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.8569,                 1.5934,                0.93475,                0.70443,                0.63811,                0.72265,                0.31917,                 2.0575,                 1.4355,                0.88276,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.8544,                  1.577,                0.93715,                0.66224,                0.63619,                0.68627,                0.27076,                 2.2148,                 1.4716,                0.91033,               0.000703,               0.000703,               0.000703
                     32,                 1.8558,                 1.5876,                0.93599,                0.68483,                0.60303,                0.68333,                0.30971,                 1.9897,                 1.5458,                0.87592,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.8508,                 1.5758,                0.93633,                0.67789,                0.63249,                 0.6875,                0.25871,                 2.2421,                 1.6092,                0.91286,              0.0006832,              0.0006832,              0.0006832
                     34,                  1.841,                 1.5721,                0.93564,                0.70289,                0.61247,                 0.6947,                0.27983,                 2.1884,                 1.5673,                0.89904,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.8409,                 1.5682,                0.93768,                0.63345,                0.68215,                0.71406,                0.30644,                  2.086,                 1.4772,                0.88396,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.8332,                 1.5593,                0.93435,                0.69683,                0.67272,                0.73089,                 0.3169,                 2.0483,                 1.4114,                0.88606,              0.0006535,              0.0006535,              0.0006535
                     37,                  1.829,                 1.5555,                0.93591,                0.67161,                0.62295,                0.69232,                0.27105,                 2.2089,                 1.5157,                0.91419,              0.0006436,              0.0006436,              0.0006436
