                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.52173,                 1.0354,                0.89481,                0.97063,                0.96555,                0.99181,                0.92693,                0.33548,                0.34773,                0.79928,               0.067053,              0.0003328,              0.0003328
                      1,                 0.3531,                0.52729,                0.83073,                0.96252,                0.96299,                0.98963,                0.94375,                0.30577,                0.29198,                0.79703,               0.034031,             0.00064415,             0.00064415
                      2,                0.31738,                0.45976,                0.82414,                 0.9792,                 0.9767,                0.99253,                0.97699,                0.21156,                 0.2424,                0.80045,             0.00098675,              0.0009335,              0.0009335
                      3,                0.28195,                0.42503,                0.81841,                 0.9845,                0.97818,                0.99384,                0.95935,                0.25903,                0.22516,                0.80425,               0.000901,               0.000901,               0.000901
                      4,                0.26579,                0.39921,                0.81557,                0.99076,                0.98615,                0.99406,                0.99062,                0.17854,                0.18712,                 0.7886,               0.000901,               0.000901,               0.000901
                      5,                0.24889,                0.38612,                0.81349,                0.98646,                0.98489,                0.99386,                0.99044,                 0.1552,                0.18567,                 0.7863,               0.000868,               0.000868,               0.000868
                      6,                0.23146,                0.37403,                0.81082,                0.98975,                0.98955,                0.99439,                0.98962,                0.17113,                0.16755,                0.78763,               0.000835,               0.000835,               0.000835
                      7,                0.23566,                0.36153,                0.81069,                0.99221,                0.99031,                0.99463,                0.99379,                0.14974,                0.15625,                 0.7845,               0.000802,               0.000802,               0.000802
                      8,                 0.2156,                0.34315,                0.80801,                0.99342,                0.99157,                0.99426,                0.99251,                0.16347,                0.15216,                0.78592,               0.000769,               0.000769,               0.000769
                      9,                0.21112,                0.33912,                0.80549,                0.99126,                0.99215,                0.99439,                0.99399,                 0.1447,                0.14661,                0.78476,               0.000736,               0.000736,               0.000736
                     10,                0.20629,                0.32851,                0.80709,                0.99415,                0.99501,                0.99455,                0.99372,                0.13364,                0.13012,                0.78143,               0.000703,               0.000703,               0.000703
                     11,                0.20554,                0.32537,                0.80692,                0.99385,                0.99253,                0.99459,                0.99423,                0.13131,                0.13477,                0.78101,                0.00067,                0.00067,                0.00067
                     12,                0.19981,                0.31486,                0.80587,                0.99365,                0.99425,                0.99465,                0.99401,                0.13045,                 0.1312,                0.77948,               0.000637,               0.000637,               0.000637
                     13,                0.19305,                0.31476,                0.80496,                0.99529,                 0.9936,                 0.9946,                0.99431,                 0.1231,                0.12466,                0.78318,               0.000604,               0.000604,               0.000604
                     14,                0.17932,                 0.3017,                0.80324,                 0.9964,                0.99654,                0.99472,                0.99465,                0.11176,                0.11869,                0.78072,               0.000571,               0.000571,               0.000571
                     15,                 0.1839,                0.29871,                 0.8046,                0.99646,                0.99639,                0.99473,                0.99468,                0.11089,                0.10569,                 0.7802,               0.000538,               0.000538,               0.000538
                     16,                0.17959,                0.29471,                0.80401,                0.99676,                0.99728,                0.99478,                0.99477,                0.10167,                0.10436,                0.77789,               0.000505,               0.000505,               0.000505
                     17,                0.17559,                0.29034,                0.80325,                0.99622,                0.99682,                0.99471,                0.99463,                0.11219,                0.10876,                0.77887,               0.000472,               0.000472,               0.000472
                     18,                0.17271,                0.28736,                0.80275,                0.99679,                0.99661,                0.99459,                0.99453,                0.11213,                0.10354,                0.77931,               0.000439,               0.000439,               0.000439
                     19,                0.16676,                0.28317,                0.80183,                0.99671,                0.99687,                0.99473,                0.99471,                 0.1073,                0.10361,                0.77755,               0.000406,               0.000406,               0.000406
                     20,                0.16007,                0.27556,                0.80135,                0.99774,                0.99784,                0.99477,                0.99471,                0.10291,                0.10027,                0.77803,               0.000373,               0.000373,               0.000373
                     21,                0.15863,                0.27285,                0.80107,                0.99807,                0.99783,                0.99476,                0.99474,                0.09839,                0.09401,                0.77747,                0.00034,                0.00034,                0.00034
                     22,                0.15578,                0.27042,                0.80106,                0.99845,                0.99803,                0.99477,                0.99475,                0.10044,                0.09853,                0.77883,               0.000307,               0.000307,               0.000307
                     23,                0.15208,                0.26292,                0.79988,                0.99851,                0.99837,                0.99481,                 0.9948,                0.09667,                0.09342,                 0.7769,               0.000274,               0.000274,               0.000274
                     24,                 0.1501,                0.25972,                0.79992,                0.99848,                0.99892,                0.99478,                0.99478,                0.09645,                 0.0919,                0.77732,               0.000241,               0.000241,               0.000241
                     25,                0.14243,                0.25466,                0.79929,                0.99807,                0.99827,                0.99482,                0.99482,                0.10664,                 0.0955,                0.77884,               0.000208,               0.000208,               0.000208
                     26,                0.14091,                0.25428,                0.79957,                0.99855,                 0.9984,                0.99479,                0.99478,                0.09223,                0.09044,                0.77888,               0.000175,               0.000175,               0.000175
                     27,                0.13768,                 0.2467,                0.79934,                 0.9991,                0.99908,                0.99485,                0.99483,                0.08271,                0.08952,                0.77784,               0.000142,               0.000142,               0.000142
                     28,                0.13127,                0.24197,                0.79891,                0.99866,                0.99906,                0.99486,                0.99485,                0.08819,                0.08571,                0.77674,               0.000109,               0.000109,               0.000109
                     29,                0.12781,                0.23763,                  0.799,                0.99898,                0.99869,                0.99478,                0.99477,                0.07658,                0.08247,                0.77625,                7.6e-05,                7.6e-05,                7.6e-05
