                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7691,                 2.2677,                 1.3373,                0.67375,                0.62721,                0.69144,                0.32165,                 1.8184,                 1.5412,                 1.4214,               0.067105,             0.00033227,             0.00033227
                      1,                 1.6967,                 1.3995,                 1.3352,                0.80644,                0.73948,                0.82396,                0.40204,                 1.7315,                 1.1812,                  1.369,               0.034099,             0.00065901,             0.00065901
                      2,                 1.6644,                 1.2713,                 1.3302,                0.84533,                0.72947,                0.82545,                 0.3962,                 1.7593,                  1.186,                 1.3765,              0.0010857,             0.00097916,             0.00097916
                      3,                 1.6617,                 1.1993,                 1.3332,                0.87004,                0.78239,                0.86774,                0.42363,                 1.7221,                 1.0379,                 1.3791,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.6424,                 1.1625,                 1.3277,                0.85918,                0.77933,                0.86189,                  0.427,                 1.7301,                 1.0341,                 1.3849,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6287,                 1.1231,                 1.3232,                0.87697,                0.79246,                0.87949,                0.43984,                 1.6882,                0.97925,                 1.3598,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.6288,                 1.0926,                 1.3235,                0.87418,                0.82248,                0.89147,                0.44972,                 1.6751,                0.95079,                 1.3729,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6116,                  1.076,                 1.3222,                0.88424,                0.79476,                0.88242,                0.44528,                 1.6902,                 0.9522,                  1.366,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6091,                 1.0534,                 1.3217,                0.88823,                0.79961,                0.88953,                0.44684,                 1.6947,                0.94605,                 1.3743,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6047,                 1.0327,                 1.3218,                 0.8874,                0.82706,                0.90014,                0.45886,                 1.6693,                0.89723,                 1.3607,              0.0009208,              0.0009208,              0.0009208
                     10,                  1.602,                 1.0225,                 1.3203,                0.89342,                0.83143,                0.90189,                0.45778,                 1.6974,                0.88623,                  1.382,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.5951,                 1.0193,                 1.3212,                0.89219,                0.83795,                0.90262,                0.45994,                 1.6686,                0.88284,                   1.37,               0.000901,               0.000901,               0.000901
                     12,                 1.5946,                 1.0051,                 1.3194,                 0.8952,                0.83203,                0.90594,                0.46139,                 1.6718,                0.87021,                 1.3779,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5881,                0.98939,                 1.3196,                0.87671,                0.85112,                0.90822,                0.46059,                 1.6747,                0.85657,                 1.3899,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5889,                0.98574,                 1.3201,                0.88579,                0.84616,                0.90737,                 0.4639,                 1.6662,                0.85079,                 1.3753,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5846,                0.97608,                 1.3179,                0.90229,                 0.8501,                0.91325,                0.46668,                 1.6636,                0.84266,                 1.3844,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5725,                0.96846,                 1.3154,                0.87891,                0.84842,                0.90996,                0.46071,                  1.672,                0.84991,                 1.3833,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5774,                0.95791,                 1.3193,                0.89601,                0.84912,                0.91497,                0.46838,                 1.6781,                0.81601,                 1.3808,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5749,                0.95647,                 1.3177,                0.89329,                 0.8532,                0.90972,                0.46432,                 1.6864,                0.81655,                 1.3855,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.5742,                0.94449,                 1.3205,                0.89328,                0.85115,                0.90966,                0.46631,                 1.6743,                0.81846,                 1.3802,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5685,                0.93948,                 1.3142,                0.90216,                 0.8579,                0.91664,                0.46993,                 1.6771,                0.80554,                 1.3952,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.5629,                0.92591,                 1.3143,                0.89524,                0.85997,                0.91342,                0.46904,                 1.6755,                 0.8021,                 1.4005,               0.000802,               0.000802,               0.000802
                     22,                  1.568,                0.92715,                 1.3175,                0.89307,                0.86385,                0.91497,                0.46665,                 1.6753,                0.80206,                   1.39,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.5614,                0.92344,                 1.3162,                0.90009,                0.85216,                0.91656,                0.46681,                 1.6843,                0.80277,                 1.4014,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.5577,                0.91426,                 1.3202,                0.89545,                0.86603,                0.91862,                0.46947,                 1.6809,                 0.7797,                 1.4107,              0.0007723,              0.0007723,              0.0007723
                     25,                  1.552,                 0.9103,                 1.3152,                 0.8931,                0.85962,                0.91541,                 0.4689,                 1.6799,                0.78689,                 1.4086,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.5532,                0.90432,                 1.3238,                0.89402,                0.87344,                 0.9212,                0.47447,                  1.682,                0.76525,                 1.4154,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.5526,                0.90395,                 1.3214,                0.90048,                0.86569,                0.92043,                0.47192,                 1.6885,                0.77276,                 1.4156,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.5498,                0.89505,                 1.3213,                0.90355,                0.86473,                0.92168,                0.47253,                 1.6869,                0.75754,                 1.4172,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.5422,                0.88776,                 1.3186,                0.89445,                 0.8684,                0.91771,                 0.4709,                 1.6827,                 0.7682,                  1.421,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.5429,                0.87946,                 1.3212,                0.89654,                0.86773,                0.91989,                0.47193,                 1.6865,                0.75997,                 1.4229,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.5355,                0.87671,                 1.3174,                0.89159,                0.87118,                0.91586,                0.46973,                 1.6827,                0.75209,                 1.4214,               0.000703,               0.000703,               0.000703
                     32,                 1.5381,                0.87422,                 1.3226,                0.89859,                0.86859,                0.92028,                0.47245,                 1.6878,                0.76217,                 1.4284,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.5338,                0.86933,                 1.3164,                0.89181,                0.87369,                0.91947,                0.47623,                 1.6841,                0.75388,                 1.4214,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.5195,                0.85591,                 1.3103,                0.89772,                0.86765,                0.92079,                0.47318,                 1.6912,                0.75307,                 1.4327,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.5283,                0.86046,                 1.3151,                0.89513,                0.86512,                0.91793,                0.46954,                 1.6877,                0.75349,                 1.4281,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.5241,                0.85834,                 1.3119,                0.89627,                0.86495,                0.91897,                0.47214,                 1.6816,                0.74178,                 1.4263,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.5193,                0.84565,                 1.3132,                 0.8902,                0.86838,                0.91684,                0.47089,                 1.6898,                0.74335,                 1.4292,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.5131,                0.84565,                 1.3085,                0.89773,                 0.8679,                0.91797,                 0.4708,                 1.6899,                0.74099,                 1.4358,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.5113,                0.84501,                 1.3075,                0.89433,                0.87105,                0.92036,                0.47251,                 1.6884,                0.73977,                 1.4315,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.5073,                0.83848,                 1.3061,                0.89848,                0.87808,                0.92226,                0.47395,                 1.6947,                0.72764,                 1.4361,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.5028,                0.84036,                 1.3043,                0.90082,                0.87108,                0.92155,                0.47292,                 1.6966,                  0.726,                 1.4333,               0.000604,               0.000604,               0.000604
                     42,                  1.501,                0.83179,                 1.3018,                0.90236,                0.87154,                0.92113,                0.47168,                 1.7027,                0.73232,                 1.4408,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4953,                0.82678,                 1.2998,                0.90387,                0.86908,                0.92156,                 0.4716,                 1.7028,                0.72563,                  1.439,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4952,                0.82871,                    1.3,                0.89735,                0.86741,                0.91605,                0.46796,                 1.7011,                0.73019,                 1.4429,              0.0005743,              0.0005743,              0.0005743
                     45,                  1.484,                0.82246,                 1.2941,                0.90304,                0.86698,                0.91942,                0.46922,                 1.7004,                0.72206,                 1.4445,              0.0005644,              0.0005644,              0.0005644
                     46,                  1.487,                0.81167,                 1.2975,                0.89885,                0.87243,                0.91931,                0.47076,                 1.7011,                0.71675,                 1.4416,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.4806,                0.81537,                 1.2917,                0.90342,                0.87287,                0.92414,                 0.4706,                 1.7039,                0.71125,                 1.4471,              0.0005446,              0.0005446,              0.0005446
